company_name_normalized;nb_occ
HUSEEN;10
DEPARTEMENT DE LA MANCHE;10
BANQUE DE FRANCE;10
MINISTERE DE L'ECONOMIE, DE L'INDUSTRIE ET DU NUMERIQUE;10
PREFECTURE DE LA CREUSE;10
DEPARTEMENT DE MAYOTTE;10
FONTENAY;10
COMMUNE DE NICE;10
QUENTEL;10
COMMUNE DE CHAMPIGNY SUR MARNE;10
COMMUNE DE NIMES;10
PREFECTURE DE L'AVEYRON;10
PREFECTURE DE LA LOIRE ATLANTIQUE;10
LAMBERT;10
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE VAUCLUSE;10
HAKOBYAN;10
BLANC;10
CENTRE NATIONAL DU CINEMA ET DE L'IMAGE ANIMEE;10
CENTRE NATIONAL D'ETUDES SPATIALES;10
KRASNIQI;10
CONFEDERATION GENERALE DU TRAVAIL FORCE OUVRIERE;10
EURL PHARMACIE DE LA GARE SAINT CHARLES;10
SOCIETE A2C;10
PREFECTURE DE LA HAUTE CORSE;10
SY;10
PREFECTURE DU VAL D'OISE DIRECTION DES LIBERTES PUBLIQUES ET DE LA CITOYENNETE;10
AHMADZAI;10
FRANCE TELECOM;10
CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE ROUEN;10
CHEBOUT;10
SA LEROY MERLIN FRANCE;10
DIAKITE;10
THEETTEN;10
MINISTERE DE L'ECONOMIE ET DES FINANCES DIRCOFI IDF OUEST;10
CHEVALIER;10
IBOURI;10
DAUMAN;10
PREFECTURE DE LA REGION LANGUEDOC ROUSSILLON, PREFET DE L'HERAULT;10
PREFECTURE DE LA SEINE ET MARNE;10
NGUYEN;10
FAURE;10
JEAN;10
PREFECTURE DE LA SARTHE;10
NUHA;9
MASSON;9
SOCIETE ZARA FRANCE;9
MAGUEUR;9
DEPARTEMENT DU VAR;9
SAID;9
GUILLOU;9
SIMON;9
AMRI;9
RAMAMPY;9
DEPARTEMENT DE LA MOSELLE;9
TOULOUSE METROPOLE;9
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS DRESG DIRECTION DES RESIDENTS;9
FRANCEAGRIMER;9
SAIDI;9
AMAR;9
SAS DISTRIBUTION CASINO FRANCE;9
PREFECTURE DU LOIR ET CHER;9
PREFECTURE DE L'ISERE;9
BERTRAND;9
PREFECTURE DE LA REGION D'ILE DE FRANCE;9
AIR FRANCE;9
COMMUNE DE CORME ECLUSE;9
BANGURA;9
SOCIETE CLEAR CHANNEL FRANCE;9
GUZEL;9
CAISSE PRIMAIRE D'ASSURANCE MALADIE DU VAR;9
AUTORITE DE LA CONCURRENCE;9
LE GAD;9
DIARRA;9
DIRECTION REGIONALE DES FINANCES PUBLIQUES DE RHONE ALPES ET DU DEPARTEMENT DU RHONE;9
LE GOFF;9
PREFECTURE DE LA HAUTE GARONNE;9
AGENCE NATIONALE DE SECURITE DU MEDICAMENT ET;9
SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS DE LA SEINE MARITIME;9
SARL FERME DE LA COULEE;9
DAVID;9
IBRAHIM;9
COMMUNE DE ROISSY EN BRIE;9
VOIES NAVIGABLES DE FRANCE;9
PENHIRIN;9
MINISTERE DE L'ECONOMIE COMMISSION NATIONALE;9
DEPARTEMENT DE LA CHARENTE MARITIME;9
VOIES NAVIGABLES DE FRANCE DIRECTION DES AFFAIRES JURIDIQUES;9
MINISTERE DES FINANCES ET COMPTES PUBLICS;9
MINISTERE DE L'ECONOMIE ET DES FINANCES DIRCOFI IDF EST;9
OFFICE NATIONAL D'INDEMNISATION DES ACCIDENTS MEDICAUX DES INFECTIONS NOSOCOMIALES;9
LEGRAND;9
ASSOCIATION LE CLAPOTIS;8
