known_companies;known_companies_len
ADP;3
EDISON INTERNATIONAL;20
BIOGEN;6
UNITED STATES STEEL;19
CORE MARK HOLDING;17
BED BATH & BEYOND;17
ONEOK;5
BB&T CORP.;10
BECTON DICKINSON;16
AMERIPRISE FINANCIAL;20
FARMERS INSURANCE EXCHANGE;26
FIRST DATA;10
CONSOLIDATED EDISON;19
PARKER HANNIFIN;15
ANADARKO PETROLEUM;18
ESTEE LAUDER;12
TESLA;5
NETFLIX;7
ALCOA;5
DISCOVER FINANCIAL SERVICES;27
PRAXAIR;7
CSX;3
XCEL ENERGY;11
UNUM GROUP;10
NRG ENERGY;10
EOG RESOURCES;13
SEMPRA ENERGY;13
TOYS;4
ENTERGY;7
MOLSON COORS BREWING;20
AUTOZONE;8
MURPHY;6
MGM RESORTS INTERNATIONAL;25
OFFICE DEPOT;12
HUNTSMAN;8
BAXTER INTERNATIONAL;20
NORFOLK SOUTHERN;16
SALESFORCE;10
GRAINGER;8
QURATE RETAIL;13
AUTOLIV;7
LIVE NATION ENTERTAINMENT;25
LEIDOS;6
CORNING;7
LITHIA MOTORS;13
EXPEDIA;7
REPUBLIC;8
JACOBS ENGINEERING;18
SONIC AUTOMOTIVE;16
ALLY FINANCIAL;14
LKQ;3
BORGWARNER;10
FIDELITY NATIONAL FINANCIAL;27
SUNTRUST BANKS;14
IQVIA HOLDINGS;14
RELIANCE STEEL & ALUMINUM;25
NVIDIA;6
VOYA FINANCIAL;14
CENTERPOINT ENERGY;18
EBAY;4
EASTMAN CHEMICAL;16
AMERICAN FAMILY INSURANCE GROUP;31
STEEL DYNAMICS;14
PACIFIC LIFE;12
CHESAPEAKE ENERGY;17
MOHAWK INDUSTRIES;17
QUANTA SERVICES;15
ADVANCE AUTO PARTS;18
OWENS & MINOR;13
UNITED NATURAL FOODS;20
TENNECO;7
CONAGRA;7
GAMESTOP;8
HORMEL;6
HILTON;6
BOSTON SCIENTIFIC;17
O'REILLY;8
CHARLES SCHWAB;14
GLOBAL PARTNERS;15
PVH;3
AVIS BUDGET;11
TARGA RESOURCES;15
CALPINE;7
CROWN;5
PETER KIEWIT SONS;17
DICK'S SPORTING GOODS;21
PULTEGROUP;10
NAVISTAR;8
THRIVENT FINANCIAL FOR LUTHERANS;32
DCP MIDSTREAM;13
AIR PRODUCTS & CHEMICALS;24
VERITIV;7
AGCO;4
GENWORTH FINANCIAL;18
UNIVAR;6
SPARTANNASH;11
WESTLAKE CHEMICAL;17
WILLIAMS;8
LAM RESEARCH;12
ALASKA AIR GROUP;16
JONES LANG LASALLE;18
ANIXTER;7
CAMPBELL SOUP;13
DOVER;5
ZIMMER BIOMET;13
DEAN FOODS;10
FOOT LOCKER;11
EVERSOURCE ENERGY;17
ALLIANCE DATA SYSTEMS;21
FIFTH THIRD BANCORP;19
QUEST DIAGNOSTICS;17
EMCOR GROUP;11
WESCO;5
COTY;4
WEC ENERGY;10
MASCO;5
DXC TECHNOLOGY;14
LIBERTY MEDIA;13
ERIE;4
HERSHEY;7
PPL;3
MOSAIC;6
SMUCKER;7
DELEK;5
NEWMONT MINING;14
CONSTELLATION;13
RYDER SYSTEM;12
NATIONAL OILWELL VARCO;22
ADOBE;5
LIFEPOINT HEALTH;16
TRACTOR SUPPLY;14
THOR INDUSTRIES;15
DANA;4
WEYERHAEUSER;12
DARDEN;6
BLACKSTONE;10
BLIZZARD;8
ACTIVISION;10
JETBLUE AIRWAYS;15
AMPHENOL;8
DONNELLEY & SONS;16
HARRIS;6
DISCOVERY;9
OWENS ILLINOIS;14
SANMINA;7
KEYCORP;7
AMERICAN FINANCIAL GROUP;24
OSHKOSH;7
ROCKWELL COLLINS;16
KINDRED HEALTHCARE;18
INSIGHT ENTERPRISES;19
DR PEPPER;9
AMERICAN TOWER;14
FORTIVE;7
RALPH LAUREN;12
HRG;3
